group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,epsilon,1,3,5,7,10,15,20,30,50
1,S1-S8 (2s paradigm),1,1,0.2,subject,1,0.65,160,104,,,,all_mean_acc,42.9,46,46.6,46.9,46.4,45.9,45.6,44.4,41.6
1,S1-S8 (2s paradigm),1,1,0.2,subject,2,0.68125,160,109,,,,std,17.6,19.8,19.4,19.6,19.8,19.9,19.7,19,18.6
1,S1-S8 (2s paradigm),1,1,0.2,subject,3,0.78125,160,125,,,,kappa,0.414,0.447,0.452,0.456,0.45,0.446,0.442,0.43,0.401
1,S1-S8 (2s paradigm),1,1,0.2,subject,4,0.44375,160,71,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,1,0.2,subject,5,0.21875,160,35,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,1,0.2,subject,6,0.50625,160,81,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,1,0.2,subject,7,0.16875,160,27,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,1,0.2,subject,8,0.5375,160,86,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),1,1,0.2,summary,ALL,,8,,49.8,20.2,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,1,0.2,subject,1,0.74375,160,119,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,1,0.2,subject,2,0.75625,160,121,,,,,,,,,A05,A06,A07,A08,A09
1,S1-S8 (2s paradigm),3,1,0.2,subject,3,0.86875,160,139,,,,,,,,mean_acc,53.7,48.9,50.2,32.1,49.8
1,S1-S8 (2s paradigm),3,1,0.2,subject,4,0.475,160,76,,,,,,,,std,20.9,19,26.9,12.7,18.5
1,S1-S8 (2s paradigm),3,1,0.2,subject,5,0.30625,160,49,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,1,0.2,subject,6,0.48125,160,77,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,1,0.2,subject,7,0.1875,160,30,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,1,0.2,subject,8,0.56875,160,91,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),3,1,0.2,summary,ALL,,8,,54.8,21.9,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,1,0.74375,160,119,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,2,0.675,160,108,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,3,0.86875,160,139,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,4,0.45,160,72,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,5,0.31875,160,51,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,6,0.475,160,76,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,7,0.16875,160,27,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,subject,8,0.575,160,92,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),5,1,0.2,summary,ALL,,8,,53.4,21.4,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,1,0.74375,160,119,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,2,0.71875,160,115,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.2,subject,3,0.86875,160,139,,,,,,,,,,,,,
