group_id,group_description,epsilon,alpha,shared_ratio,row_type,test_subject,accuracy,n_test_samples,n_correct,mean_accuracy,std_accuracy,,shared_ratio,0.0 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.8 ,0.9 ,1.0 
1,S1-S8 (2s paradigm),7,1,0.6,subject,1,0.7,160,112,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,2,0.68125,160,109,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,3,0.86875,160,139,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,4,0.4375,160,70,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,5,0.29375,160,47,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,6,0.43125,160,69,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,7,0.21875,160,35,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,subject,8,0.51875,160,83,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.6,summary,ALL,,8,,51.9,20.5,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,1,0.725,160,116,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,2,0.6875,160,110,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,3,0.8625,160,138,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,4,0.41875,160,67,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,5,0.26875,160,43,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,6,0.45625,160,73,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,7,0.1875,160,30,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,subject,8,0.5625,160,90,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.7,summary,ALL,,8,,52.1,21.7,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,1,0.675,160,108,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,2,0.625,160,100,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,3,0.84375,160,135,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,4,0.40625,160,65,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,5,0.2625,160,42,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,6,0.40625,160,65,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,7,0.21875,160,35,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,subject,8,0.53125,160,85,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.8,summary,ALL,,8,,49.6,19.9,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,1,0.71875,160,115,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,2,0.59375,160,95,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,3,0.85,160,136,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,4,0.375,160,60,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,5,0.25625,160,41,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,6,0.48125,160,77,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,7,0.225,160,36,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,subject,8,0.45,160,72,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,0.9,summary,ALL,,8,,49.4,20.4,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,1,0.65,160,104,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,2,0.6125,160,98,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,3,0.88125,160,141,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,4,0.29375,160,47,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,5,0.2625,160,42,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,6,0.4,160,64,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,7,0.2125,160,34,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,subject,8,0.49375,160,79,,,,,,,,,,,,,,,
1,S1-S8 (2s paradigm),7,1,1,summary,ALL,,8,,47.6,21.4,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,9,0.5125,160,82,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,10,0.58125,160,93,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,11,0.1125,160,18,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,12,0.70625,160,113,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,13,0.6125,160,98,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,14,0.43125,160,69,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,15,0.28125,160,45,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,subject,16,0.74375,160,119,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0,summary,ALL,,8,,49.8,20.1,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,9,0.5,160,80,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,10,0.59375,160,95,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,11,0.10625,160,17,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,12,0.66875,160,107,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,13,0.6125,160,98,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,14,0.4,160,64,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,15,0.28125,160,45,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,subject,16,0.71875,160,115,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.1,summary,ALL,,8,,48.5,19.7,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,9,0.46875,160,75,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,10,0.59375,160,95,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,11,0.11875,160,19,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,12,0.675,160,108,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,13,0.575,160,92,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,14,0.3875,160,62,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,15,0.3125,160,50,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,subject,16,0.71875,160,115,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.2,summary,ALL,,8,,48.1,18.8,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,subject,9,0.5,160,80,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,subject,10,0.5875,160,94,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,subject,11,0.1,160,16,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,subject,12,0.69375,160,111,,,,,,,,,,,,,,,
2,S9-S16 (2s paradigm),7,1,0.3,subject,13,0.55,160,88,,,,,,,,,,,,,,,
